Age (bin),Age Group,Category,Color,Discount,Discount Count,Frequency of Purchases,Gender,Item,Location,Past Purchases,Payment Method,Season,Shipping Type,Size,Subscription Status,Table Name,Age,Customer,Previous Purchases,Product Count,Review Rating,Sales (USD)
50,55-64,Clothing,Gray,Yes,1,Fortnightly,Male,Blouse,Kentucky,4 - 6,Card,Winter,Courier,L,No,Retail_Clothing_Sales.csv,55,1,6,1,3.1,39.94
10,18-24,Clothing,Maroon,Yes,1,Fortnightly,Male,Sweater,Maine,1 - 3,Cash,Winter,Courier,L,No,Retail_Clothing_Sales.csv,19,2,1,1,3.1,58.23
50,45-54,Clothing,Maroon,Yes,1,Weekly,Male,Jeans,Massachusetts,1 - 3,Card,Spring,Courier,S,No,Retail_Clothing_Sales.csv,50,3,3,1,3.1,80.19
20,18-24,Footwear,Maroon,Yes,1,Weekly,Male,Sandals,Rhode Island,"0
New",Card,Spring,Store Pickup,M,No,Retail_Clothing_Sales.csv,21,4,0,1,3.5,168.4
40,45-54,Clothing,Turquoise,Yes,1,Fortnightly,Male,Blouse,Oregon,1 - 3,Card,Spring,Courier,M,No,Retail_Clothing_Sales.csv,45,5,1,1,2.7,34.43
20,25-34,Footwear,White,Yes,1,Weekly,Male,Sneakers,Wyoming,4 - 6,Card,Summer,Courier,M,No,Retail_Clothing_Sales.csv,26,6,6,1,2.9,9.13
30,25-34,Clothing,Gray,Yes,1,Quarterly,Male,Shirt,Montana,"0
New",Cash,Fall,Courier,M,No,Retail_Clothing_Sales.csv,34,7,0,1,3.2,130.49
20,25-34,Clothing,Charcoal,Yes,1,Weekly,Male,Shorts,Louisiana,4 - 6,Card,Winter,Courier,L,No,Retail_Clothing_Sales.csv,27,8,4,1,3.2,19.11
20,25-34,Outerwear,Silver,Yes,1,Fortnightly,Male,Coat,West Virginia,7 & more,Card,Summer,Courier,L,No,Retail_Clothing_Sales.csv,26,9,7,1,2.6,324.87
20,18-24,Accessories,Pink,Yes,1,Quarterly,Male,Handbag,Missouri,1 - 3,Cash,Spring,Courier,M,Yes,Retail_Clothing_Sales.csv,24,10,3,1,4.8,16.62
20,25-34,Footwear,Purple,Yes,1,Weekly,Male,Shoes,Arkansas,1 - 3,Cash,Fall,Store Pickup,L,No,Retail_Clothing_Sales.csv,28,11,2,1,4.1,19.1
30,25-34,Clothing,Olive,Yes,1,Fortnightly,Male,Shorts,Hawaii,1 - 3,Cash,Winter,Store Pickup,S,Yes,Retail_Clothing_Sales.csv,30,12,1,1,4.9,67.29
30,35-44,Outerwear,Gold,Yes,1,Fortnightly,Male,Coat,Delaware,"0
New",Card,Winter,Courier,M,Yes,Retail_Clothing_Sales.csv,36,13,0,1,4.5,77.19
20,25-34,Clothing,Violet,Yes,1,Weekly,Male,Dress,New Hampshire,1 - 3,Card,Spring,Courier,M,Yes,Retail_Clothing_Sales.csv,28,14,1,1,4.7,37.19
60,55-64,Outerwear,Teal,Yes,1,Weekly,Male,Coat,New York,1 - 3,Card,Winter,Courier,L,Yes,Retail_Clothing_Sales.csv,64,15,1,1,4.7,39.92
60,55-64,Clothing,Teal,Yes,1,Monthly,Male,Skirt,Rhode Island,7 & more,Card,Winter,Store Pickup,M,No,Retail_Clothing_Sales.csv,64,16,7,1,2.8,108.78
20,25-34,Accessories,Gray,Yes,1,Weekly,Male,Sunglasses,Alabama,"0
New",Card,Spring,Store Pickup,S,No,Retail_Clothing_Sales.csv,25,17,0,1,4.1,20.91
20,25-34,Clothing,Lavender,Yes,1,Quarterly,Male,Dress,Mississippi,"0
New",Card,Winter,Courier,XL,Yes,Retail_Clothing_Sales.csv,28,18,0,1,4.7,22.78
10,18-24,Clothing,Black,Yes,1,Weekly,Male,Sweater,Montana,4 - 6,Cash,Summer,Courier,S,Yes,Retail_Clothing_Sales.csv,19,19,4,1,4.6,33.34
60,65-70,Clothing,Green,Yes,1,Weekly,Male,Pants,Rhode Island,"0
New",Card,Summer,Courier,M,No,Retail_Clothing_Sales.csv,66,20,0,1,3.3,168.24
20,18-24,Clothing,Black,Yes,1,Monthly,Male,Pants,Louisiana,"0
New",Cash,Winter,Courier,M,No,Retail_Clothing_Sales.csv,21,21,0,1,2.8,37.18
30,25-34,Clothing,Charcoal,Yes,1,Quarterly,Male,Pants,North Carolina,1 - 3,Card,Winter,Store Pickup,M,No,Retail_Clothing_Sales.csv,31,22,3,1,4.1,54.07
50,55-64,Clothing,Peach,Yes,1,Fortnightly,Male,Pants,California,1 - 3,Card,Summer,Store Pickup,M,No,Retail_Clothing_Sales.csv,56,23,1,1,3.2,21.84
30,25-34,Clothing,White,Yes,1,Weekly,Male,Pants,Oklahoma,"0
New",Card,Winter,Courier,XL,Yes,Retail_Clothing_Sales.csv,31,24,0,1,4.4,149.48
10,18-24,Outerwear,Green,Yes,1,Weekly,Male,Jacket,Florida,4 - 6,Card,Fall,Store Pickup,M,No,Retail_Clothing_Sales.csv,18,25,5,1,2.9,10.3
10,18-24,Clothing,Silver,Yes,1,Fortnightly,Male,Hoodie,Texas,4 - 6,Card,Summer,Courier,M,No,Retail_Clothing_Sales.csv,18,26,6,1,3.6,12.28
40,45-54,Clothing,Red,Yes,1,Weekly,Male,Blouse,Maryland,"0
New",Card,Spring,Store Pickup,M,No,Retail_Clothing_Sales.csv,49,27,0,1,3.7,14.33
30,35-44,Accessories,Red,Yes,1,Fortnightly,Male,Jewelry,Nevada,4 - 6,Card,Spring,Store Pickup,M,No,Retail_Clothing_Sales.csv,38,27,6,1,3.6,9.13
50,55-64,Clothing,Cyan,Yes,1,Monthly,Male,Shorts,Kentucky,4 - 6,Cash,Summer,Store Pickup,L,Yes,Retail_Clothing_Sales.csv,56,28,6,1,5,44.18
20,18-24,Accessories,Gray,Yes,1,Monthly,Male,Handbag,North Carolina,"0
New",Card,Fall,Courier,M,Yes,Retail_Clothing_Sales.csv,21,29,0,1,4.4,224.38
30,25-34,Clothing,Black,Yes,1,Weekly,Male,Dress,Wyoming,4 - 6,Card,Fall,Store Pickup,S,No,Retail_Clothing_Sales.csv,31,30,6,1,4.1,33.33
20,18-24,Accessories,Black,Yes,1,Monthly,Male,Jewelry,North Carolina,4 - 6,Card,Winter,Courier,L,Yes,Retail_Clothing_Sales.csv,24,31,5,1,4.7,16.61
30,25-34,Clothing,Brown,Yes,1,Monthly,Male,Dress,West Virginia,"0
New",Card,Winter,Store Pickup,L,Yes,Retail_Clothing_Sales.csv,33,32,0,1,4.7,100.12
30,35-44,Outerwear,Silver,Yes,1,Fortnightly,Male,Jacket,Kansas,"0
New",Card,Summer,Courier,M,Yes,Retail_Clothing_Sales.csv,36,33,0,1,4.9,64.64
20,18-24,Clothing,Green,Yes,1,Quarterly,Male,Pants,Colorado,"0
New",Cash,Summer,Store Pickup,L,No,Retail_Clothing_Sales.csv,21,34,0,1,3.3,22.77
30,35-44,Clothing,Violet,Yes,1,Quarterly,Male,T-shirt,North Dakota,"0
New",Card,Spring,Courier,L,Yes,Retail_Clothing_Sales.csv,36,35,0,1,4.6,179.68
20,18-24,Clothing,Cyan,Yes,1,Weekly,Male,Blouse,Massachusetts,"0
New",Card,Summer,Courier,M,No,Retail_Clothing_Sales.csv,21,36,0,1,4,18.31
30,35-44,Clothing,Maroon,Yes,1,Fortnightly,Male,T-shirt,Illinois,"0
New",Card,Winter,Courier,M,Yes,Retail_Clothing_Sales.csv,35,37,0,1,4.6,69.3
30,35-44,Clothing,Cyan,Yes,1,Weekly,Male,Jeans,Indiana,7 & more,Card,Summer,Store Pickup,S,No,Retail_Clothing_Sales.csv,35,38,9,1,2.8,29.94
20,25-34,Clothing,Red,Yes,1,Monthly,Male,Dress,Florida,"0
New",Card,Winter,Courier,M,No,Retail_Clothing_Sales.csv,29,39,0,1,3.7,21.83
70,65-70,Clothing,Turquoise,Yes,1,Monthly,Male,Pants,Arizona,4 - 6,Card,Summer,Courier,S,No,Retail_Clothing_Sales.csv,70,40,4,1,4.2,50.72
30,25-34,Accessories,Beige,Yes,1,Quarterly,Male,Handbag,Louisiana,1 - 3,Card,Winter,Store Pickup,L,Yes,Retail_Clothing_Sales.csv,33,41,1,1,4.6,89.24
30,25-34,Accessories,Orange,Yes,1,Fortnightly,Male,Scarf,Alaska,"0
New",Card,Spring,Courier,M,Yes,Retail_Clothing_Sales.csv,31,42,0,1,4.5,23.69
20,18-24,Outerwear,Beige,Yes,1,Fortnightly,Male,Coat,Tennessee,4 - 6,Card,Spring,Courier,M,Yes,Retail_Clothing_Sales.csv,20,43,5,1,4.1,1281.24
20,25-34,Accessories,Lavender,Yes,1,Fortnightly,Male,Scarf,Ohio,4 - 6,Card,Fall,Store Pickup,L,No,Retail_Clothing_Sales.csv,25,44,4,1,3.7,69.27
30,35-44,Accessories,Silver,Yes,1,Weekly,Male,Hat,Kentucky,"0
New",Card,Summer,Courier,S,Yes,Retail_Clothing_Sales.csv,39,45,0,1,4.6,39.91
50,45-54,Clothing,Indigo,Yes,1,Fortnightly,Male,Socks,Tennessee,1 - 3,Card,Fall,Courier,XL,No,Retail_Clothing_Sales.csv,50,46,2,1,2.9,9.71
20,18-24,Clothing,White,Yes,1,Quarterly,Male,Shirt,California,"0
New",Cash,Summer,Store Pickup,L,No,Retail_Clothing_Sales.csv,24,47,0,1,2.9,27.67
50,55-64,Accessories,Charcoal,Yes,1,Weekly,Male,Jewelry,Montana,"0
New",Cash,Winter,Courier,M,Yes,Retail_Clothing_Sales.csv,55,48,0,1,4.5,41.21
20,18-24,Clothing,Orange,Yes,1,Monthly,Male,Shirt,Nevada,"0
New",Cash,Summer,Store Pickup,M,No,Retail_Clothing_Sales.csv,22,49,0,1,2.7,42.59
30,25-34,Clothing,Indigo,Yes,1,Weekly,Male,Hoodie,New Jersey,1 - 3,Card,Spring,Store Pickup,S,Yes,Retail_Clothing_Sales.csv,30,50,1,1,4.6,15.83
50,45-54,Clothing,Gray,Yes,1,Quarterly,Male,Skirt,Vermont,4 - 6,Card,Winter,Courier,XL,Yes,Retail_Clothing_Sales.csv,54,52,6,1,4.7,48.96
20,18-24,Clothing,Green,Yes,1,Weekly,Male,T-shirt,Alaska,1 - 3,Card,Summer,Courier,M,No,Retail_Clothing_Sales.csv,22,53,2,1,2.6,9.12
20,25-34,Clothing,Peach,Yes,1,Weekly,Male,Skirt,Mississippi,"0
New",Card,Winter,Store Pickup,S,No,Retail_Clothing_Sales.csv,29,54,0,1,3.9,11.59
30,25-34,Outerwear,Brown,Yes,1,Weekly,Male,Coat,New Mexico,"0
New",Card,Summer,Store Pickup,M,Yes,Retail_Clothing_Sales.csv,33,55,0,1,4.2,224.03
40,35-44,Outerwear,Lavender,Yes,1,Fortnightly,Male,Jacket,South Carolina,"0
New",Card,Winter,Courier,M,No,Retail_Clothing_Sales.csv,40,56,0,1,3,14.33
40,35-44,Accessories,Brown,Yes,1,Weekly,Male,Backpack,Mississippi,"0
New",Card,Summer,Store Pickup,XL,Yes,Retail_Clothing_Sales.csv,41,57,0,1,4.7,80.15
20,18-24,Outerwear,White,Yes,1,Fortnightly,Male,Coat,West Virginia,4 - 6,Card,Summer,Store Pickup,M,Yes,Retail_Clothing_Sales.csv,21,58,4,1,4.4,58.2
30,25-34,Clothing,Charcoal,Yes,1,Monthly,Male,Hoodie,Missouri,1 - 3,Card,Summer,Courier,M,No,Retail_Clothing_Sales.csv,33,59,1,1,4.2,41.19
30,25-34,Accessories,Yellow,Yes,1,Weekly,Male,Belt,Louisiana,1 - 3,Card,Spring,Courier,L,Yes,Retail_Clothing_Sales.csv,34,60,3,1,4.6,100.06
50,45-54,Clothing,Brown,Yes,1,Weekly,Male,Sweater,Idaho,4 - 6,Cash,Summer,Courier,L,No,Retail_Clothing_Sales.csv,50,61,4,1,4,21.82
50,55-64,Accessories,Orange,Yes,1,Monthly,Male,Scarf,Texas,1 - 3,Card,Winter,Store Pickup,M,Yes,Retail_Clothing_Sales.csv,55,62,3,1,4.7,67.26
30,25-34,Footwear,Magenta,Yes,1,Fortnightly,Male,Sneakers,Mississippi,1 - 3,Card,Spring,Courier,S,No,Retail_Clothing_Sales.csv,30,63,1,1,3.8,9.71
30,25-34,Accessories,Lavender,Yes,1,Weekly,Male,Sunglasses,Arizona,"0
New",Card,Winter,Courier,L,No,Retail_Clothing_Sales.csv,33,64,0,1,2.7,100
20,25-34,Footwear,Green,Yes,1,Fortnightly,Male,Boots,Alabama,4 - 6,Card,Fall,Courier,S,Yes,Retail_Clothing_Sales.csv,28,65,4,1,4.8,119.09
20,25-34,Accessories,Purple,Yes,1,Monthly,Male,Backpack,New Jersey,"0
New",Card,Spring,Courier,M,Yes,Retail_Clothing_Sales.csv,28,66,0,1,4.8,20.9
30,25-34,Clothing,Magenta,Yes,1,Monthly,Male,Blouse,Pennsylvania,1 - 3,Card,Winter,Courier,S,Yes,Retail_Clothing_Sales.csv,31,67,2,1,4.7,223.68
40,45-54,Outerwear,Gray,Yes,1,Monthly,Male,Coat,Connecticut,"0
New",Card,Winter,Store Pickup,L,No,Retail_Clothing_Sales.csv,45,68,0,1,4.4,18.31
20,18-24,Accessories,Silver,Yes,1,Monthly,Male,Handbag,Utah,1 - 3,Cash,Summer,Store Pickup,L,No,Retail_Clothing_Sales.csv,24,69,3,1,3.9,31.06
40,45-54,Accessories,Cyan,Yes,1,Weekly,Male,Belt,Tennessee,4 - 6,Cash,Summer,Courier,S,Yes,Retail_Clothing_Sales.csv,48,70,4,1,4.4,71.7
